t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
3703896186.0,7.29774254891,0.0,3703898593,638.317231821,527.061718967,638.25225935,522.071599064,638.2847455855,524.5666590155,647.29774254891,512.0,17.53581909050721,15.464638148831247,13.537277200668116,0.0,0.0,0.0,-1,0,-1,0,-1,0,-1,-1,-1
3703911199,14.6168026227,0,3703914590,639.203211383,526.684567101,642.72773954,524.113718857,640.9654754615001,525.399142979,654.6168026227,512.0,21.28885402853628,19.12840207214911,16.973273270965045,6.019340941159507e-05,0.00017547143867183056,0.0003075181257304745,-1,0,-1,0,-1,0,-1,-1,-1
3703928706,21.5693616237,0,3703930587,638.219154492,524.558420674,639.990728611,524.796866609,639.1049415515,524.6776436415,661.5693616237,512.0,26.513130764178808,25.794821524506222,25.0877898130809,0.00014645452442907,0.00012474413578662333,0.00017634422055945226,-1,0,-1,0,-1,0,-1,-1,-1
3703946225,28.8943239303,0,3703946584,637.53379021,523.375218938,641.732248956,525.284950148,639.6330195830001,524.330084543,668.8943239303,512.0,33.35983634716308,31.753030043490934,30.236868510881465,8.547641940711508e-05,3.9519262034385854e-05,0.00011306016214542951,-1,0,-1,0,-1,0,-1,-1,-1
3703961227,36.5221274154,0,3703962582,640.698313591,525.40186785,636.580789967,521.75506067,638.6395517789999,523.57846426,676.5221274154,512.0,38.24860388032659,39.61250271653719,41.115345624746226,0.00023489563076280854,7.786956687487004e-05,0.00039034940619613284,-1,0,-1,0,-1,0,-1,-1,-1
3703978743,43.4845234838,0,3703982578,639.711708067,528.673498839,633.174457903,518.604354388,636.443082985,523.6389266135,683.4845234838,512.0,46.84084684383252,48.45989823469064,50.741700756150216,0.0001708920124939746,0.00010988701801259306,0.00023204882465359552,-1,0,-1,0,-1,0,-1,-1,-1
3703996267,50.778007177,0,3703998576,642.573749854,527.816161484,633.757654119,516.466273932,638.1657019864999,522.141217708,690.778007177,512.0,50.73264617728865,53.58077037575485,57.19500210415791,0.00018675416794771175,0.00014268424316359496,0.00013852930039538427,-1,0,-1,0,-1,0,-1,-1,-1
3704011272,58.4162098561,0,3704014574,638.741630453,523.723560422,635.376255245,518.83513397,637.058942849,521.279347196,698.4162098561,512.0,60.81527189699286,62.05497964679764,63.409423067533,0.00035045942314039394,8.768348160539794e-05,0.00017933716622458315,-1,0,-1,0,-1,0,-1,-1,-1
3704028774,65.3717199798,0,3704030573,642.9508219,527.149498532,636.553074504,521.095172735,639.751948202,524.1223356335,705.3717199798,512.0,64.23298080316562,66.73009418082505,69.41705937450338,0.0003392203072241875,0.00024476374230764683,0.00015926455055922402,-1,0,-1,0,-1,0,-1,-1,-1
3704046288,73.0312831479,0,3704046572,640.851196572,531.475181203,638.040677438,524.74899615,639.445937005,528.1120886765,713.0312831479,512.0,74.76127059510225,75.32863047002651,76.06660139358407,0.0003005388867944406,0.00025010758510085243,0.00024658078705276035,-1,0,-1,0,-1,0,-1,-1,-1
