t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
3128039300.0,7.30055894707,0.0,3128041523,626.225792503,508.154226976,645.498023235,501.93219944,635.861907869,505.043213208,647.30055894707,512.0,21.422785785798915,13.388040220853044,10.227890452543214,0.0,0.0,0.0,-1,0,-1,0,-1,0,-1,-1,-1
3128054295,14.237097578,0,3128057524,625.796555717,509.381254059,644.144478446,503.399925538,634.9705170815,506.39058979850006,654.237097578,512.0,28.560851731886423,20.066554433604292,13.259797950781747,8.124106851660675e-05,0.00010096555324363749,0.00012477800840026042,-1,0,-1,0,-1,0,-1,-1,-1
3128072299,21.537888814,0,3128073526,623.721875598,503.956875508,644.092871073,506.545430841,633.9073733355001,505.2511531745,661.537888814,512.0,38.661902528800816,28.442790282981786,18.277881953172677,0.00036292943204181536,9.738742320826644e-05,0.0001965959647512146,-1,0,-1,0,-1,0,-1,-1,-1
3128090321,28.8441606848,0,3128093528,622.188122153,501.557775844,645.131541615,507.555281377,633.6598318839999,504.5565286105,668.8441606848,512.0,47.81031245249252,35.963067993277754,24.12558448591641,0.00014235920636982834,3.686703525587802e-05,7.242608190266166e-05,-1,0,-1,0,-1,0,-1,-1,-1
3128105321,36.5801719505,0,3128105529,622.685611138,502.235605272,643.455377698,506.652752056,633.070494418,504.444178664,676.5801719505,512.0,54.771955320003464,44.160870406318914,33.55361463158731,7.00609959306783e-05,4.9991747695003537e-05,0.0001586286875348892,-1,0,-1,0,-1,0,-1,-1,-1
3128120335,43.4347818363,0,3128121531,622.893622598,502.443966937,643.066762082,506.194538248,632.98019234,504.3192525925,683.4347818363,512.0,61.29069855874011,51.035864663763256,40.78333489352594,1.8398972899084058e-05,9.632920746143593e-06,3.754641722366768e-05,-1,0,-1,0,-1,0,-1,-1,-1
3128138350,50.7430211308,0,3128141532,621.062665448,500.010632831,645.411656281,503.514299109,633.2371608645001,501.76246597,690.7430211308,512.0,70.70429190080756,58.41002540645415,46.11875712502672,0.00015225465242653096,0.0001284769472126591,0.00017805155517979068,-1,0,-1,0,-1,0,-1,-1,-1
3128153357,58.0450771228,0,3128153534,622.239622988,500.244499487,646.878785034,502.979568194,634.559204011,501.6120338405,698.0450771228,512.0,76.71152891772132,64.33013233080187,51.95534270970688,9.998065123566418e-05,0.00011086271263684162,0.00013010656239271392,-1,0,-1,0,-1,0,-1,-1,-1
3128171366,65.3540190595,0,3128173536,621.682510524,503.429308506,645.83500168,503.68860744,633.758756102,503.558957973,705.3540190595,512.0,84.10932227340545,72.09114278782906,60.096527987127935,0.00016164229352222934,0.00010524191559884997,6.308529832986825e-05,-1,0,-1,0,-1,0,-1,-1,-1
3128192380,72.6463785125,0,3128193537,628.384666402,506.051210505,648.408440384,502.638978984,638.396553393,504.3450947445,712.6463785125,512.0,84.47144028752321,74.64337951048982,64.91641864322912,0.00035981969292773195,0.00023518589553999728,0.00013895623669120112,-1,0,-1,0,-1,0,-1,-1,-1
